comment,case_folding,remove_emoji,cleaning_text,replace_3_or_more,tokenize,word_normalization,stemming,stopwords,Sentiments,Label
"Ayo perhatikan pola makan bagi #pasienginjal  dengan bantuan ahli gizi atau pantauan dokter untuk melindungi ginjal anda
","ayo perhatikan pola makan bagi #pasienginjal  dengan bantuan ahli gizi atau pantauan dokter untuk melindungi ginjal anda
","ayo perhatikan pola makan bagi #pasienginjal  dengan bantuan ahli gizi atau pantauan dokter untuk melindungi ginjal anda
",ayo perhatikan pola makan bagi  pasienginjal  dengan bantuan ahli gizi atau pantauan dokter untuk melindungi ginjal anda ,ayo perhatikan pola makan bagi pasienginjal dengan bantuan ahli gizi atau pantauan dokter untuk melindungi ginjal anda ,"['ayo', 'perhatikan', 'pola', 'makan', 'bagi', 'pasienginjal', 'dengan', 'bantuan', 'ahli', 'gizi', 'atau', 'pantauan', 'dokter', 'untuk', 'melindungi', 'ginjal', 'anda']",ayo perhatikan pola makan bagi pasienginjal dengan bantuan ahli gizi atau pantauan dokter untuk melindungi ginjal anda,ayo perhati pola makan bagi pasienginjal dengan bantu ahli gizi atau pantau dokter untuk lindung ginjal anda,ayo perhati pola makan pasienginjal bantu ahli gizi pantau dokter lindung ginjal,1,positif
Masih mabok perjalanan dari tds2 ehhh di kasi the link jakarta😌 BPJS cover kesehatan otak dan hatiku kan?senang bgtttt,masih mabok perjalanan dari tds2 ehhh di kasi the link jakartað bpjs cover kesehatan otak dan hatiku kan?senang bgtttt,masih mabok perjalanan dari tds2 ehhh di kasi the link jakarta bpjs cover kesehatan otak dan hatiku kan?senang bgtttt,masih mabok perjalanan dari tds  ehhh di kasi the link jakarta bpjs cover kesehatan otak dan hatiku kan senang bgtttt,masih mabok perjalanan dari tds eh di kasi the link jakarta bpjs cover kesehatan otak dan hatiku kan senang bgt,"['masih', 'mabok', 'perjalanan', 'dari', 'tds', 'eh', 'di', 'kasi', 'the', 'link', 'jakarta', 'bpjs', 'cover', 'kesehatan', 'otak', 'dan', 'hatiku', 'kan', 'senang', 'bgt']",masih mabok perjalanan dari tds eh di kasi the link jakarta bpjs cover kesehatan otak dan hatiku kan senang banget,masih mabok jalan dari tds eh di kasi the link jakarta bpjs cover sehat otak dan hati kan senang banget,mabok jalan tds eh kasi the link jakarta bpjs cover sehat otak hati kan senang banget,1,positif
banyak yang bilang bpjs sudah bagus sekarang dan temen dengan penyakit yang sama sembuh di salah satu rs,banyak yang bilang bpjs sudah bagus sekarang dan temen dengan penyakit yang sama sembuh di salah satu rs,banyak yang bilang bpjs sudah bagus sekarang dan temen dengan penyakit yang sama sembuh di salah satu rs,banyak yang bilang bpjs sudah bagus sekarang dan temen dengan penyakit yang sama sembuh di salah satu rs,banyak yang bilang bpjs sudah bagus sekarang dan temen dengan penyakit yang sama sembuh di salah satu rs,"['banyak', 'yang', 'bilang', 'bpjs', 'sudah', 'bagus', 'sekarang', 'dan', 'temen', 'dengan', 'penyakit', 'yang', 'sama', 'sembuh', 'di', 'salah', 'satu', 'rs']",banyak yang bilang bpjs sudah bagus sekarang dan temen dengan penyakit yang sama sembuh di salah satu rumah sakit,banyak yang bilang bpjs sudah bagus sekarang dan temen dengan sakit yang sama sembuh di salah satu rumah sakit,banyak bilang bpjs bagus sekarang temen sakit sama sembuh salah satu rumah sakit,1,positif
"Point bagus dari BPJS Kesehatan, ada Rujukan Berjenjang, sehingga bisa dapat berbagai opini apabila perlu dirujuk","point bagus dari bpjs kesehatan, ada rujukan berjenjang, sehingga bisa dapat berbagai opini apabila perlu dirujuk","point bagus dari bpjs kesehatan, ada rujukan berjenjang, sehingga bisa dapat berbagai opini apabila perlu dirujuk",point bagus dari bpjs kesehatan  ada rujukan berjenjang  sehingga bisa dapat berbagai opini apabila perlu dirujuk,point bagus dari bpjs kesehatan ada rujukan berjenjang sehinga bisa dapat berbagai opini apabila perlu dirujuk,"['point', 'bagus', 'dari', 'bpjs', 'kesehatan', 'ada', 'rujukan', 'berjenjang', 'sehinga', 'bisa', 'dapat', 'berbagai', 'opini', 'apabila', 'perlu', 'dirujuk']",point bagus dari bpjs kesehatan ada rujukan berjenjang sehinga bisa dapat berbagai opini apabila perlu dirujuk,point bagus dari bpjs sehat ada rujuk jenjang sehinga bisa dapat bagai opini apabila perlu rujuk,point bagus bpjs sehat rujuk jenjang sehinga bagai opini apabila perlu rujuk,1,positif
BPJS Kesehatan menjamin dengan baik semua biaya operasi bedah dan non bedah dengan catatan sesuai indikasi medis. Apa saja operasi yang ditanggung BPJS Kesehatan? https://t.co/p8rZB2uZpG,bpjs kesehatan menjamin dengan baik semua biaya operasi bedah dan non bedah dengan catatan sesuai indikasi medis. apa saja operasi yang ditanggung bpjs kesehatan? https://t.co/p8rzb2uzpg,bpjs kesehatan menjamin dengan baik semua biaya operasi bedah dan non bedah dengan catatan sesuai indikasi medis. apa saja operasi yang ditanggung bpjs kesehatan? https://t.co/p8rzb2uzpg,bpjs kesehatan menjamin dengan baik semua biaya operasi bedah dan non bedah dengan catatan sesuai indikasi medis  apa saja operasi yang ditanggung bpjs kesehatan  ,bpjs kesehatan menjamin dengan baik semua biaya operasi bedah dan non bedah dengan catatan sesuai indikasi medis apa saja operasi yang ditangung bpjs kesehatan ,"['bpjs', 'kesehatan', 'menjamin', 'dengan', 'baik', 'semua', 'biaya', 'operasi', 'bedah', 'dan', 'non', 'bedah', 'dengan', 'catatan', 'sesuai', 'indikasi', 'medis', 'apa', 'saja', 'operasi', 'yang', 'ditangung', 'bpjs', 'kesehatan']",bpjs kesehatan menjamin dengan baik semua biaya operasi bedah dan non bedah dengan catatan sesuai indikasi medis apa saja operasi yang ditanggung bpjs kesehatan,bpjs sehat jamin dengan baik semua biaya operasi bedah dan non bedah dengan catat sesuai indikasi medis apa saja operasi yang tanggung bpjs sehat,bpjs sehat jamin baik semua biaya operasi bedah non bedah catat sesuai indikasi medis apa operasi tanggung bpjs sehat,1,positif
" Boleh, di keluarga semua pakai fasilitas bpjs kesehatan.
Yang penting datang dulu ke faskes 1. Untuk pemeriksaan mata.
Nanti rujukan sesuai kondisi. Pelayanannya memuaskan dan menguntungkan jadi tidak perlu ragu"," boleh, di keluarga semua pakai fasilitas bpjs kesehatan.
yang penting datang dulu ke faskes 1. untuk pemeriksaan mata.
nanti rujukan sesuai kondisi. pelayanannya memuaskan dan menguntungkan jadi tidak perlu ragu"," boleh, di keluarga semua pakai fasilitas bpjs kesehatan.
yang penting datang dulu ke faskes 1. untuk pemeriksaan mata.
nanti rujukan sesuai kondisi. pelayanannya memuaskan dan menguntungkan jadi tidak perlu ragu", boleh  di keluarga semua pakai fasilitas bpjs kesehatan  yang penting datang dulu ke faskes    untuk pemeriksaan mata  nanti rujukan sesuai kondisi  pelayanannya memuaskan dan menguntungkan jadi tidak perlu ragu, boleh di keluarga semua pakai fasilitas bpjs kesehatan yang penting datang dulu ke faskes untuk pemeriksan mata nanti rujukan sesuai kondisi pelayananya memuaskan dan menguntungkan jadi tidak perlu ragu,"['boleh', 'di', 'keluarga', 'semua', 'pakai', 'fasilitas', 'bpjs', 'kesehatan', 'yang', 'penting', 'datang', 'dulu', 'ke', 'faskes', 'untuk', 'pemeriksan', 'mata', 'nanti', 'rujukan', 'sesuai', 'kondisi', 'pelayananya', 'memuaskan', 'dan', 'menguntungkan', 'jadi', 'tidak', 'perlu', 'ragu']",boleh di keluarga semua pakai fasilitas bpjs kesehatan yang penting datang dulu ke faskes untuk pemeriksan mata nanti rujukan sesuai kondisi pelayananya memuaskan dan menguntungkan jadi tidak perlu ragu,boleh di keluarga semua pakai fasilitas bpjs sehat yang penting datang dulu ke faskes untuk pemeriksan mata nanti rujuk sesuai kondisi pelayananya muas dan untung jadi tidak perlu ragu,keluarga semua pakai fasilitas bpjs sehat penting datang dulu faskes pemeriksan mata rujuk sesuai kondisi pelayananya muas untung jadi perlu ragu,1,positif
"
1. Agar rakyat terlindungi dengan harga berobat yang  sesuai dan  standardisasi  yang di hitung BPJS.
","
1. agar rakyat terlindungi dengan harga berobat yang  sesuai dan  standardisasi  yang di hitung bpjs.
","
1. agar rakyat terlindungi dengan harga berobat yang  sesuai dan  standardisasi  yang di hitung bpjs.
",    agar rakyat terlindungi dengan harga berobat yang  sesuai dan  standardisasi  yang di hitung bpjs  , agar rakyat terlindungi dengan harga berobat yang sesuai dan standardisasi yang di hitung bpjs ,"['agar', 'rakyat', 'terlindungi', 'dengan', 'harga', 'berobat', 'yang', 'sesuai', 'dan', 'standardisasi', 'yang', 'di', 'hitung', 'bpjs']",agar rakyat terlindungi dengan harga berobat yang sesuai dan standardisasi yang di hitung bpjs,agar rakyat lindung dengan harga obat yang sesuai dan standardisasi yang di hitung bpjs,rakyat lindung harga obat sesuai standardisasi hitung bpjs,1,positif
"Pastikan Mahasiswa Terjamin Kesehatannya, BPJS Kesehatan Kerja Sama dengan UIN Ar-Raniry - Rakyat Aceh https://t.co/OZqxgXwPqD","pastikan mahasiswa terjamin kesehatannya, bpjs kesehatan kerja sama dengan uin ar-raniry - rakyat aceh https://t.co/ozqxgxwpqd","pastikan mahasiswa terjamin kesehatannya, bpjs kesehatan kerja sama dengan uin ar-raniry - rakyat aceh https://t.co/ozqxgxwpqd",pastikan mahasiswa terjamin kesehatannya  bpjs kesehatan kerja sama dengan uin ar raniry   rakyat aceh ,pastikan mahasiswa terjamin kesehatanya bpjs kesehatan kerja sama dengan uin ar raniry rakyat aceh ,"['pastikan', 'mahasiswa', 'terjamin', 'kesehatanya', 'bpjs', 'kesehatan', 'kerja', 'sama', 'dengan', 'uin', 'ar', 'raniry', 'rakyat', 'aceh']",pastikan mahasiswa terjamin kesehatanya bpjs kesehatan kerja sama dengan uin ar raniry rakyat aceh,pasti mahasiswa jamin kesehatanya bpjs sehat kerja sama dengan uin ar raniry rakyat aceh,mahasiswa jamin kesehatanya bpjs sehat kerja sama uin ar raniry rakyat aceh,1,positif
"Optimalisasi Pelaksanaan Program Jaminan Kesehatan  Nasional di Kabupaten Simeulue
oleh Kasi Datun Kejari Simeulue, Kepala BPJS Kabupaten Simeulue, dan Kabag Hukum Setdakab Simeulue https://t.co/LClDhfRNcS","optimalisasi pelaksanaan program jaminan kesehatan  nasional di kabupaten simeulue
oleh kasi datun kejari simeulue, kepala bpjs kabupaten simeulue, dan kabag hukum setdakab simeulue https://t.co/lcldhfrncs","optimalisasi pelaksanaan program jaminan kesehatan  nasional di kabupaten simeulue
oleh kasi datun kejari simeulue, kepala bpjs kabupaten simeulue, dan kabag hukum setdakab simeulue https://t.co/lcldhfrncs",optimalisasi pelaksanaan program jaminan kesehatan  nasional di kabupaten simeulue oleh kasi datun kejari simeulue  kepala bpjs kabupaten simeulue  dan kabag hukum setdakab simeulue ,optimalisasi pelaksanan program jaminan kesehatan nasional di kabupaten simeulue oleh kasi datun kejari simeulue kepala bpjs kabupaten simeulue dan kabag hukum setdakab simeulue ,"['optimalisasi', 'pelaksanan', 'program', 'jaminan', 'kesehatan', 'nasional', 'di', 'kabupaten', 'simeulue', 'oleh', 'kasi', 'datun', 'kejari', 'simeulue', 'kepala', 'bpjs', 'kabupaten', 'simeulue', 'dan', 'kabag', 'hukum', 'setdakab', 'simeulue']",optimalisasi pelaksanan program jaminan kesehatan nasional di kabupaten simeulue oleh kasi datun kejari simeulue kepala bpjs kabupaten simeulue dan kabag hukum setdakab simeulue,optimalisasi pelaksanan program jamin sehat nasional di kabupaten simeulue oleh kasi datun kejar simeulue kepala bpjs kabupaten simeulue dan kabag hukum setdakab simeulue,optimalisasi pelaksanan program jamin sehat nasional kabupaten simeulue kasi datun kejar simeulue kepala bpjs kabupaten simeulue kabag hukum setdakab simeulue,1,positif
"program pemerintah yang bagus itu di lanjutkan dan semakin disempurnakan untuk meningkatkan perekonomian & pelayanan kesehatan,","program pemerintah yang bagus itu di lanjutkan dan semakin disempurnakan untuk meningkatkan perekonomian & pelayanan kesehatan,","program pemerintah yang bagus itu di lanjutkan dan semakin disempurnakan untuk meningkatkan perekonomian & pelayanan kesehatan,",program pemerintah yang bagus itu di lanjutkan dan semakin disempurnakan untuk meningkatkan perekonomian   pelayanan kesehatan ,program pemerintah yang bagus itu di lanjutkan dan semakin disempurnakan untuk meningkatkan perekonomian pelayanan kesehatan ,"['program', 'pemerintah', 'yang', 'bagus', 'itu', 'di', 'lanjutkan', 'dan', 'semakin', 'disempurnakan', 'untuk', 'meningkatkan', 'perekonomian', 'pelayanan', 'kesehatan']",program pemerintah yang bagus itu di lanjutkan dan semakin disempurnakan untuk meningkatkan perekonomian pelayanan kesehatan,program perintah yang bagus itu di lanjut dan makin sempurna untuk tingkat ekonomi layan sehat,program perintah bagus lanjut makin sempurna tingkat ekonomi layan sehat,1,positif
pelayanan pakai bpjs dj rumah sakit daerah ku perawatnya ramah2 sekali,pelayanan pakai bpjs dj rumah sakit daerah ku perawatnya ramah2 sekali,pelayanan pakai bpjs dj rumah sakit daerah ku perawatnya ramah2 sekali,pelayanan pakai bpjs dj rumah sakit daerah ku perawatnya ramah  sekali,pelayanan pakai bpjs dj rumah sakit daerah ku perawatnya ramah sekali,"['pelayanan', 'pakai', 'bpjs', 'dj', 'rumah', 'sakit', 'daerah', 'ku', 'perawatnya', 'ramah', 'sekali']",pelayanan pakai bpjs dj rumah sakit daerah ku perawatnya ramah sekali,layan pakai bpjs dj rumah sakit daerah ku awat ramah sekali,layan pakai bpjs dj rumah sakit daerah ku awat ramah sekali,1,positif
kemarin sempat coba pakai bpjs saat periksa gigi pelayanannya memuaskan,kemarin sempat coba pakai bpjs saat periksa gigi pelayanannya memuaskan,kemarin sempat coba pakai bpjs saat periksa gigi pelayanannya memuaskan,kemarin sempat coba pakai bpjs saat periksa gigi pelayanannya memuaskan,kemarin sempat coba pakai bpjs sat periksa gigi pelayananya memuaskan,"['kemarin', 'sempat', 'coba', 'pakai', 'bpjs', 'sat', 'periksa', 'gigi', 'pelayananya', 'memuaskan']",kemarin sempat coba pakai bpjs saat periksa gigi pelayananya memuaskan,kemarin sempat coba pakai bpjs saat periksa gigi pelayananya muas,kemarin sempat coba pakai bpjs periksa gigi pelayananya muas,1,positif
pelayanannya ramah dan suster dan dokternya asik. kamar mandi bersih dan dikasi makan 3x sehari dengan makanan yang enak2,pelayanannya ramah dan suster dan dokternya asik. kamar mandi bersih dan dikasi makan 3x sehari dengan makanan yang enak2,pelayanannya ramah dan suster dan dokternya asik. kamar mandi bersih dan dikasi makan 3x sehari dengan makanan yang enak2,pelayanannya ramah dan suster dan dokternya asik  kamar mandi bersih dan dikasi makan  x sehari dengan makanan yang enak ,pelayananya ramah dan suster dan dokternya asik kamar mandi bersih dan dikasi makan x sehari dengan makanan yang enak ,"['pelayananya', 'ramah', 'dan', 'suster', 'dan', 'dokternya', 'asik', 'kamar', 'mandi', 'bersih', 'dan', 'dikasi', 'makan', 'x', 'sehari', 'dengan', 'makanan', 'yang', 'enak']",pelayananya ramah dan suster dan dokternya asik kamar mandi bersih dan dikasi makan kali sehari dengan makanan yang enak,pelayananya ramah dan suster dan dokter asik kamar mandi bersih dan kasi makan kali hari dengan makan yang enak,pelayananya ramah suster dokter asik kamar mandi bersih kasi makan kali hari makan enak,1,positif
periksa mata pakai bpjs dengan mudah dan nyaman,periksa mata pakai bpjs dengan mudah dan nyaman,periksa mata pakai bpjs dengan mudah dan nyaman,periksa mata pakai bpjs dengan mudah dan nyaman,periksa mata pakai bpjs dengan mudah dan nyaman,"['periksa', 'mata', 'pakai', 'bpjs', 'dengan', 'mudah', 'dan', 'nyaman']",periksa mata pakai bpjs dengan mudah dan nyaman,periksa mata pakai bpjs dengan mudah dan nyaman,periksa mata pakai bpjs mudah nyaman,1,positif
saya ibu hamil dan sangat terbantu dengan hadirnya bpjs ini,saya ibu hamil dan sangat terbantu dengan hadirnya bpjs ini,saya ibu hamil dan sangat terbantu dengan hadirnya bpjs ini,saya ibu hamil dan sangat terbantu dengan hadirnya bpjs ini,saya ibu hamil dan sangat terbantu dengan hadirnya bpjs ini,"['saya', 'ibu', 'hamil', 'dan', 'sangat', 'terbantu', 'dengan', 'hadirnya', 'bpjs', 'ini']",saya ibu hamil dan sangat terbantu dengan hadirnya bpjs ini,saya ibu hamil dan sangat bantu dengan hadir bpjs ini,ibu hamil sangat bantu hadir bpjs,1,positif
kacamata yang saya beli pakai bpjs bagus dan tahan lama kok,kacamata yang saya beli pakai bpjs bagus dan tahan lama kok,kacamata yang saya beli pakai bpjs bagus dan tahan lama kok,kacamata yang saya beli pakai bpjs bagus dan tahan lama kok,kacamata yang saya beli pakai bpjs bagus dan tahan lama kok,"['kacamata', 'yang', 'saya', 'beli', 'pakai', 'bpjs', 'bagus', 'dan', 'tahan', 'lama', 'kok']",kacamata yang saya beli pakai bpjs bagus dan tahan lama kok,kacamata yang saya beli pakai bpjs bagus dan tahan lama kok,kacamata beli pakai bpjs bagus tahan lama kok,1,positif
"Sekarang mah udah tinggal enaknya, dmn masyarakat udah pada puas dan kebantu dg adanya BPJS, makanya mereka pada Terpesona BPJS","sekarang mah udah tinggal enaknya, dmn masyarakat udah pada puas dan kebantu dg adanya bpjs, makanya mereka pada terpesona bpjs","sekarang mah udah tinggal enaknya, dmn masyarakat udah pada puas dan kebantu dg adanya bpjs, makanya mereka pada terpesona bpjs",sekarang mah udah tinggal enaknya  dmn masyarakat udah pada puas dan kebantu dg adanya bpjs  makanya mereka pada terpesona bpjs,sekarang mah udah tingal enaknya dmn masyarakat udah pada puas dan kebantu dg adanya bpjs makanya mereka pada terpesona bpjs,"['sekarang', 'mah', 'udah', 'tingal', 'enaknya', 'dmn', 'masyarakat', 'udah', 'pada', 'puas', 'dan', 'kebantu', 'dg', 'adanya', 'bpjs', 'makanya', 'mereka', 'pada', 'terpesona', 'bpjs']",sekarang mah sudah tinggal enaknya dmn masyarakat sudah pada puas dan kebantu dengan adanya bpjs makanya mereka pada terpesona bpjs,sekarang mah sudah tinggal enak dmn masyarakat sudah pada puas dan bantu dengan ada bpjs makanya mereka pada pesona bpjs,sekarang tinggal enak dmn masyarakat puas bantu bpjs makanya pesona bpjs,1,positif
"Pelayanan BPJS semakin baik, dokter2nya pun punya team sendiri untuk ambil tindakan jadi aman dan tanggap. Pokoknya aku happy dan puas??","pelayanan bpjs semakin baik, dokter2nya pun punya team sendiri untuk ambil tindakan jadi aman dan tanggap. pokoknya aku happy dan puas??","pelayanan bpjs semakin baik, dokter2nya pun punya team sendiri untuk ambil tindakan jadi aman dan tanggap. pokoknya aku happy dan puas??",pelayanan bpjs semakin baik  dokter nya pun punya team sendiri untuk ambil tindakan jadi aman dan tanggap  pokoknya aku happy dan puas  ,pelayanan bpjs semakin baik dokter nya pun punya team sendiri untuk ambil tindakan jadi aman dan tangap pokoknya aku hapy dan puas ,"['pelayanan', 'bpjs', 'semakin', 'baik', 'dokter', 'nya', 'pun', 'punya', 'team', 'sendiri', 'untuk', 'ambil', 'tindakan', 'jadi', 'aman', 'dan', 'tangap', 'pokoknya', 'aku', 'hapy', 'dan', 'puas']",pelayanan bpjs semakin baik dokter nya pun punya team sendiri untuk ambil tindakan jadi aman dan tanggap pokoknya aku happy dan puas,layan bpjs makin baik dokter nya pun punya team sendiri untuk ambil tindak jadi aman dan tanggap pokok aku happy dan puas,layan bpjs makin baik dokter punya team sendiri ambil tindak jadi aman tanggap pokok aku happy puas,1,positif
"ibuku jg di RS Dharmais, walau pake BPJS tp pelayanannya cepat & kompeten banget & bener2 disupport dokter2 pendukung kyk cardiologist, psychiatric etc. Aku yakin yg Cendana (premium) pelayanannya lebih oke lagi. ","ibuku jg di rs dharmais, walau pake bpjs tp pelayanannya cepat & kompeten banget & bener2 disupport dokter2 pendukung kyk cardiologist, psychiatric etc. aku yakin yg cendana (premium) pelayanannya lebih oke lagi. ","ibuku jg di rs dharmais, walau pake bpjs tp pelayanannya cepat & kompeten banget & bener2 disupport dokter2 pendukung kyk cardiologist, psychiatric etc. aku yakin yg cendana (premium) pelayanannya lebih oke lagi. ",ibuku jg di rs dharmais  walau pake bpjs tp pelayanannya cepat   kompeten banget   bener  disupport dokter  pendukung kyk cardiologist  psychiatric etc  aku yakin yg cendana  premium  pelayanannya lebih oke lagi  ,ibuku jg di rs dharmais walau pake bpjs tp pelayananya cepat kompeten banget bener disuport dokter pendukung kyk cardiologist psychiatric etc aku yakin yg cendana premium pelayananya lebih oke lagi ,"['ibuku', 'jg', 'di', 'rs', 'dharmais', 'walau', 'pake', 'bpjs', 'tp', 'pelayananya', 'cepat', 'kompeten', 'banget', 'bener', 'disuport', 'dokter', 'pendukung', 'kyk', 'cardiologist', 'psychiatric', 'etc', 'aku', 'yakin', 'yg', 'cendana', 'premium', 'pelayananya', 'lebih', 'oke', 'lagi']",ibuku juga di rumah sakit dharmais walau pakai bpjs tapi pelayananya cepat kompeten banget benar disuport dokter pendukung seperti cardiologist psychiatric etc aku yakin yang cendana premium pelayananya lebih oke lagi,ibu juga di rumah sakit dharmais walau pakai bpjs tapi pelayananya cepat kompeten banget benar disuport dokter dukung seperti cardiologist psychiatric etc aku yakin yang cendana premium pelayananya lebih oke lagi,ibu rumah sakit dharmais pakai bpjs pelayananya cepat kompeten banget benar disuport dokter dukung cardiologist psychiatric etc aku yakin cendana premium pelayananya lebih oke,1,positif
Aku juga IVF di Jakarta dengan dr. Ivan pakai bpjs Alhamdulillah berhasil. #IndonesiaBisa,aku juga ivf di jakarta dengan dr. ivan pakai bpjs alhamdulillah berhasil. #indonesiabisa,aku juga ivf di jakarta dengan dr. ivan pakai bpjs alhamdulillah berhasil. #indonesiabisa,aku juga ivf di jakarta dengan dr  ivan pakai bpjs alhamdulillah berhasil   indonesiabisa,aku juga ivf di jakarta dengan dr ivan pakai bpjs alhamdulilah berhasil indonesiabisa,"['aku', 'juga', 'ivf', 'di', 'jakarta', 'dengan', 'dr', 'ivan', 'pakai', 'bpjs', 'alhamdulilah', 'berhasil', 'indonesiabisa']",aku juga ivf di jakarta dengan dari ivan pakai bpjs alhamdulilah berhasil indonesiabisa,aku juga ivf di jakarta dengan dari ivan pakai bpjs alhamdulilah hasil indonesiabisa,aku ivf jakarta ivan pakai bpjs alhamdulilah hasil indonesiabisa,1,positif
aku akui pakai bpjs dokter�nya hebat dan bikin nyaman.,aku akui pakai bpjs dokter²nya hebat dan bikin nyaman.,aku akui pakai bpjs dokternya hebat dan bikin nyaman.,aku akui pakai bpjs dokternya hebat dan bikin nyaman ,aku akui pakai bpjs dokternya hebat dan bikin nyaman ,"['aku', 'akui', 'pakai', 'bpjs', 'dokternya', 'hebat', 'dan', 'bikin', 'nyaman']",aku akui pakai bpjs dokternya hebat dan membuat nyaman,aku aku pakai bpjs dokter hebat dan untuk nyaman,aku aku pakai bpjs dokter hebat nyaman,1,positif
"Dan dr Ivan emang termasuk dokter yg sangat bikin nyaman selama program hamil ???? meskipun pakai bpjs dari awal masuk ruangan sampai keluar ruangan, ga berhenti senyum manis. Ramah bgt. Jelasin detail.","dan dr ivan emang termasuk dokter yg sangat bikin nyaman selama program hamil ???? meskipun pakai bpjs dari awal masuk ruangan sampai keluar ruangan, ga berhenti senyum manis. ramah bgt. jelasin detail.","dan dr ivan emang termasuk dokter yg sangat bikin nyaman selama program hamil ???? meskipun pakai bpjs dari awal masuk ruangan sampai keluar ruangan, ga berhenti senyum manis. ramah bgt. jelasin detail.",dan dr ivan emang termasuk dokter yg sangat bikin nyaman selama program hamil      meskipun pakai bpjs dari awal masuk ruangan sampai keluar ruangan  ga berhenti senyum manis  ramah bgt  jelasin detail ,dan dr ivan emang termasuk dokter yg sangat bikin nyaman selama program hamil meskipun pakai bpjs dari awal masuk ruangan sampai keluar ruangan ga berhenti senyum manis ramah bgt jelasin detail ,"['dan', 'dr', 'ivan', 'emang', 'termasuk', 'dokter', 'yg', 'sangat', 'bikin', 'nyaman', 'selama', 'program', 'hamil', 'meskipun', 'pakai', 'bpjs', 'dari', 'awal', 'masuk', 'ruangan', 'sampai', 'keluar', 'ruangan', 'ga', 'berhenti', 'senyum', 'manis', 'ramah', 'bgt', 'jelasin', 'detail']",dan dari ivan memang termasuk dokter yang sangat membuat nyaman selama program hamil meskipun pakai bpjs dari awal masuk ruangan sampai keluar ruangan tidak berhenti senyum manis ramah banget jelasin detail,dan dari ivan memang masuk dokter yang sangat untuk nyaman lama program hamil meski pakai bpjs dari awal masuk ruang sampai keluar ruang tidak henti senyum manis ramah banget jelasin detail,ivan memang masuk dokter sangat nyaman lama program hamil meski pakai bpjs awal masuk ruang keluar ruang henti senyum manis ramah banget jelasin detail,1,positif
"IMO, pelayanan bpjs kesehatan disini udah baik bgt, terlepas pasien menggunakan asuransi pribadi atau BPJS. Dan sayapun menggunakan keduanya tergantung case sakit anggota keluarga :)","imo, pelayanan bpjs kesehatan disini udah baik bgt, terlepas pasien menggunakan asuransi pribadi atau bpjs. dan sayapun menggunakan keduanya tergantung case sakit anggota keluarga :)","imo, pelayanan bpjs kesehatan disini udah baik bgt, terlepas pasien menggunakan asuransi pribadi atau bpjs. dan sayapun menggunakan keduanya tergantung case sakit anggota keluarga :)",imo  pelayanan bpjs kesehatan disini udah baik bgt  terlepas pasien menggunakan asuransi pribadi atau bpjs  dan sayapun menggunakan keduanya tergantung case sakit anggota keluarga   ,imo pelayanan bpjs kesehatan disini udah baik bgt terlepas pasien mengunakan asuransi pribadi atau bpjs dan sayapun mengunakan keduanya tergantung case sakit angota keluarga ,"['imo', 'pelayanan', 'bpjs', 'kesehatan', 'disini', 'udah', 'baik', 'bgt', 'terlepas', 'pasien', 'mengunakan', 'asuransi', 'pribadi', 'atau', 'bpjs', 'dan', 'sayapun', 'mengunakan', 'keduanya', 'tergantung', 'case', 'sakit', 'angota', 'keluarga']",imo pelayanan bpjs kesehatan disini sudah baik banget terlepas pasien mengunakan asuransi pribadi atau bpjs dan sayapun mengunakan keduanya tergantung case sakit anggota keluarga,imo layan bpjs sehat sini sudah baik banget lepas pasien mengunakan asuransi pribadi atau bpjs dan saya mengunakan dua gantung case sakit anggota keluarga,imo layan bpjs sehat sini baik banget lepas pasien mengunakan asuransi pribadi bpjs mengunakan gantung case sakit anggota keluarga,1,positif
"Kanker yang 1 tahun 2013 dan sembuh. Kanker kedua tahun 2020, seminggu selepas kemo,Bapak berpulang. ","kanker yang 1 tahun 2013 dan sembuh. kanker kedua tahun 2020, seminggu selepas kemo,bapak berpulang. ","kanker yang 1 tahun 2013 dan sembuh. kanker kedua tahun 2020, seminggu selepas kemo,bapak berpulang. ",kanker yang   tahun      dan sembuh  kanker kedua tahun       seminggu selepas kemo bapak berpulang  ,kanker yang tahun dan sembuh kanker kedua tahun semingu selepas kemo bapak berpulang ,"['kanker', 'yang', 'tahun', 'dan', 'sembuh', 'kanker', 'kedua', 'tahun', 'semingu', 'selepas', 'kemo', 'bapak', 'berpulang']",kanker yang tahun dan sembuh kanker kedua tahun semingu selepas kemo bapak berpulang,kanker yang tahun dan sembuh kanker dua tahun semingu lepas kemo bapak pulang,kanker tahun sembuh kanker tahun semingu lepas kemo bapak pulang,1,positif
